-183.800, 80.200, 0.000,  0.000
-183.800, 80.200, 0.000,  0.009
-183.800, 80.200, 0.000,  0.275
-183.800, 80.199, 0.053,  0.532
-183.799, 80.195, 0.092,  0.743
-183.793, 80.170, 0.379,  0.960
-183.772, 80.090, 0.977,  1.184
-183.741, 79.959, 1.524,  1.382
-183.703, 79.776, 1.995,  1.582
-183.668, 79.574, 2.068,  1.795
-183.638, 79.376, 1.984,  2.006
-183.612, 79.190, 1.837,  2.220
-183.590, 79.020, 1.672,  2.409
-183.572, 78.865, 1.507,  2.639
-183.557, 78.729, 1.320,  2.867
-183.543, 78.598, 1.355,  3.101
-183.526, 78.440, 1.770,  3.350
-183.504, 78.234, 2.164,  3.580
-183.481, 78.015, 2.203,  3.785
-183.461, 77.803, 2.095,  3.980
-183.442, 77.605, 1.932,  4.188
-183.425, 77.425, 1.755,  4.404
-183.409, 77.264, 1.569,  4.604
-183.394, 77.109, 1.593,  4.803
-183.376, 76.928, 1.973,  5.011
-183.357, 76.705, 2.329,  5.218
-183.335, 76.469, 2.352,  5.445
-183.315, 76.243, 2.229,  5.642
-183.295, 76.034, 2.053,  5.841
-183.277, 75.842, 1.863,  6.057
-183.263, 75.671, 1.668,  6.265
-183.249, 75.501, 1.757,  6.491
-183.232, 75.301, 2.147,  6.691
-183.211, 75.063, 2.482,  6.902
-183.189, 74.813, 2.495,  7.107
-183.169, 74.573, 2.360,  7.320
-183.151, 74.351, 2.171,  7.541
-183.135, 74.148, 1.969,  7.744
-183.119, 73.967, 1.772,  7.955
-183.106, 73.788, 1.833,  8.162
-183.090, 73.581, 2.221,  8.365
-183.071, 73.334, 2.558,  8.587
-183.051, 73.077, 2.571,  8.792
-183.031, 72.830, 2.431,  8.998
-183.014, 72.600, 2.237,  9.207
-182.999, 72.393, 2.037,  9.404
-182.983, 72.187, 2.123,  9.607
-182.966, 71.953, 2.477,  9.816
-182.945, 71.682, 2.797, 10.024
-182.926, 71.401, 2.798, 10.233
-182.907, 71.132, 2.641, 10.442
-182.889, 70.883, 2.428, 10.651
-182.874, 70.658, 2.211, 10.860
-182.859, 70.434, 2.305, 11.068
-182.842, 70.183, 2.636, 11.276
-182.823, 69.897, 2.947, 11.494
-182.804, 69.601, 2.942, 11.696
-182.786, 69.318, 2.774, 11.907
-182.769, 69.057, 2.549, 12.111
-182.754, 68.819, 2.323, 12.326
-182.740, 68.585, 2.407, 12.540
-182.724, 68.324, 2.731, 12.741
-182.706, 68.029, 3.040, 12.943
-182.687, 67.724, 3.032, 13.197
-182.670, 67.432, 2.858, 13.394
-182.654, 67.163, 2.626, 13.617
-182.640, 66.918, 2.393, 13.812
-182.626, 66.677, 2.471, 14.024
-182.610, 66.410, 2.791, 14.222
-182.591, 66.104, 3.206, 14.428
-182.571, 65.759, 3.562, 14.652
-182.551, 65.401, 3.570, 14.858
-182.532, 65.058, 3.373, 15.063
-182.514, 64.740, 3.102, 15.272
-182.499, 64.449, 2.814, 15.481
-182.485, 64.187, 2.547, 15.697
-182.472, 63.932, 2.601, 15.896
-182.457, 63.652, 2.910, 16.108
-182.441, 63.335, 3.318, 16.309
-182.424, 62.978, 3.672, 16.512
-182.405, 62.609, 3.677, 16.739
-182.389, 62.255, 3.472, 16.942
-182.373, 61.927, 3.194, 17.145
-182.359, 61.628, 2.924, 17.358
-182.345, 61.337, 2.953, 17.555
-182.331, 61.024, 3.244, 17.774
-182.315, 60.674, 3.640, 17.980
-182.297, 60.286, 3.983, 18.182
-182.281, 59.886, 3.978, 18.371
-182.264, 59.503, 3.753, 18.580
-182.250, 59.149, 3.451, 18.798
-182.237, 58.825, 3.165, 18.996
-182.224, 58.511, 3.173, 19.206
-182.210, 58.176, 3.450, 19.409
-182.196, 57.806, 3.835, 19.612
-182.181, 57.399, 4.170, 19.830
-182.165, 56.981, 4.159, 20.034
-182.151, 56.580, 3.923, 20.240
-182.137, 56.210, 3.605, 20.442
-182.125, 55.871, 3.310, 20.644
-182.114, 55.543, 3.305, 20.866
-182.102, 55.196, 3.574, 21.064
-182.089, 54.814, 3.952, 21.269
-182.075, 54.391, 4.374, 21.471
-182.060, 53.930, 4.727, 21.673
-182.045, 53.455, 4.724, 21.906
-182.031, 53.000, 4.475, 22.110
-182.018, 52.576, 4.120, 22.306
-182.006, 52.188, 3.792, 22.514
-181.995, 51.815, 3.744, 22.713
-181.984, 51.426, 3.980, 22.940
-181.972, 51.005, 4.334, 23.136
-181.960, 50.545, 4.737, 23.337
-181.947, 50.048, 5.080, 23.544
-181.933, 49.538, 5.076, 23.747
-181.920, 49.047, 4.823, 23.970
-181.908, 48.590, 4.446, 24.169
-181.898, 48.171, 4.092, 24.403
-181.888, 47.770, 4.014, 24.609
-181.879, 47.355, 4.227, 24.810
-181.868, 46.910, 4.564, 25.031
-181.857, 46.428, 4.956, 25.236
-181.845, 45.909, 5.294, 25.433
-181.834, 45.379, 5.284, 25.635
-181.823, 44.867, 5.044, 25.837
-181.813, 44.385, 4.718, 26.071
-181.803, 43.923, 4.619, 26.298
-181.794, 43.451, 4.799, 26.631
-181.785, 42.951, 5.107, 27.031
-181.774, 42.417, 5.472, 27.431
-181.764, 41.848, 5.791, 27.831
-181.753, 41.269, 5.761, 28.231
-181.743, 40.711, 5.478, 28.587
-181.734, 40.187, 5.145, 28.980
-181.726, 39.691, 4.890, 29.380
-181.718, 39.202, 4.918, 29.775
-181.710, 38.695, 5.150, 30.175
-181.701, 38.159, 5.476, 30.575
-181.692, 37.587, 5.850, 30.781
-181.683, 36.980, 6.170, 30.989
-181.674, 36.363, 6.140, 31.218
-181.665, 35.768, 5.849, 31.421
-181.657, 35.209, 5.485, 31.630
-181.649, 34.675, 5.308, 31.840
-181.642, 34.145, 5.302, 32.051
-181.635, 33.605, 5.454, 32.269
-181.628, 33.039, 5.788, 32.474
-181.620, 32.431, 6.236, 32.676
-181.612, 31.779, 6.675, 32.880
-181.603, 31.087, 7.037, 33.100
-181.595, 30.382, 7.036, 33.318
-181.587, 29.698, 6.746, 33.522
-181.580, 29.053, 6.308, 33.734
-181.574, 28.453, 5.846, 33.942
-181.568, 27.887, 5.604, 34.142
-181.562, 27.324, 5.640, 34.369
